round,gameday,date,time,gamenumber,gamecode,group,hometeam,homecode,homescore,awayteam,awaycode,awayscore,played
RS,30,"Mar 21, 2025",20:15,268,E2024_268,Regular Season,PANATHINAIKOS AKTOR ATHENS,PAN,91,ALBA BERLIN,BER,81,True
RS,22,"Jan 16, 2025",20:00,190,E2024_190,Regular Season,LDLC ASVEL VILLEURBANNE,ASV,96,ALBA BERLIN,BER,89,True
PO,40,"May 01, 2025",21:00,322,E2024_322,PLAYOFF A,REAL MADRID,MAD,84,OLYMPIACOS PIRAEUS,OLY,86,True
RS,6,"Oct 29, 2024",18:30,46,E2024_46,Regular Season,ANADOLU EFES ISTANBUL,IST,88,FC BARCELONA,BAR,97,True
RS,12,"Nov 28, 2024",19:00,100,E2024_100,Regular Season,ZALGIRIS KAUNAS,ZAL,70,BASKONIA VITORIA-GASTEIZ,BAS,83,True
RS,6,"Oct 29, 2024",19:30,49,E2024_49,Regular Season,ALBA BERLIN,BER,83,PARIS BASKETBALL,PRS,92,True
RS,16,"Dec 17, 2024",20:05,141,E2024_141,Regular Season,MACCABI PLAYTIKA TEL AVIV,TEL,85,BASKONIA VITORIA-GASTEIZ,BAS,95,True
RS,21,"Jan 14, 2025",20:30,183,E2024_183,Regular Season,EA7 EMPORIO ARMANI MILAN,MIL,100,ALBA BERLIN,BER,68,True
RS,8,"Nov 07, 2024",20:45,67,E2024_67,Regular Season,FC BAYERN MUNICH,MUN,77,ZALGIRIS KAUNAS,ZAL,74,True
RS,5,"Oct 24, 2024",20:30,40,E2024_40,Regular Season,EA7 EMPORIO ARMANI MILAN,MIL,84,ANADOLU EFES ISTANBUL,IST,96,True
RS,22,"Jan 17, 2025",20:30,196,E2024_196,Regular Season,BASKONIA VITORIA-GASTEIZ,BAS,91,PANATHINAIKOS AKTOR ATHENS,PAN,77,True
RS,32,"Mar 27, 2025",20:30,283,E2024_283,Regular Season,FC BAYERN MUNICH,MUN,89,PARTIZAN MOZZART BET BELGRADE,PAR,74,True
PO,41,"May 06, 2025",19:00,325,E2024_325,PLAYOFF B,AS MONACO,MCO,85,FC BARCELONA,BAR,84,True
RS,21,"Jan 15, 2025",20:30,188,E2024_188,Regular Season,FC BARCELONA,BAR,82,PANATHINAIKOS AKTOR ATHENS,PAN,73,True
RS,15,"Dec 13, 2024",20:30,133,E2024_133,Regular Season,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,87,OLYMPIACOS PIRAEUS,OLY,73,True
RS,31,"Mar 25, 2025",20:45,274,E2024_274,Regular Season,LDLC ASVEL VILLEURBANNE,ASV,81,OLYMPIACOS PIRAEUS,OLY,70,True
RS,12,"Nov 28, 2024",20:45,107,E2024_107,Regular Season,FC BARCELONA,BAR,90,REAL MADRID,MAD,97,True
RS,14,"Dec 05, 2024",19:00,118,E2024_118,Regular Season,ZALGIRIS KAUNAS,ZAL,85,ANADOLU EFES ISTANBUL,IST,72,True
